cie9_no_dot,ccs_code,ccs_label,ccs_code_lvl1,ccs_label_lvl1,ccs_code_lvl2,ccs_label_lvl2,ccs_code_lvl3,ccs_label_lvl3,ccs_code_lvl4,ccs_label_lvl4,ccs_epichron_label,ccs_vih_label,ccs_epichron_code
01311,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01312,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01313,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01314,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01315,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01316,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01320,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01321,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01322,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01323,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01324,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01325,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01326,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01330,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01331,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01332,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01333,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01334,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01335,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01336,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01340,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01341,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01342,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01343,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01344,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01345,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01346,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
